,Unnamed: 0,title,date,stock
2427,931480.0,[[0.9999296]],2015-03-30 07:20:00-04:00,NVDA
2426,931479.0,[[0.9943156]],2015-04-01 12:29:00-04:00,NVDA
2425,931478.0,[[0.9327096]],2015-04-06 11:13:00-04:00,NVDA
6013,186803.0,[[0.9999971]],2015-04-07 14:27:00-04:00,BRK
2424,931477.0,[[0.999999]],2015-04-14 16:23:00-04:00,NVDA
2423,931476.0,[[0.6226193]],2015-04-17 16:00:00-04:00,NVDA
5664,186454.0,[[0.51571554]],2015-05-01 04:19:00-04:00,BRK
2422,931475.0,[[1.]],2015-05-01 12:08:00-04:00,NVDA
6012,186802.0,[[0.9999978]],2015-05-02 13:09:00-04:00,BRK
5663,186453.0,[[0.9999978]],2015-05-02 13:09:00-04:00,BRK
5662,186452.0,[[0.99995905]],2015-05-04 10:40:00-04:00,BRK
2421,931474.0,[[0.92092514]],2015-05-05 16:00:00-04:00,NVDA
2420,931473.0,[[0.0008481]],2015-05-06 12:49:00-04:00,NVDA
2419,931472.0,[[0.9692577]],2015-05-07 04:41:00-04:00,NVDA
2418,931471.0,[[0.06592005]],2015-05-07 04:50:00-04:00,NVDA
2417,931470.0,[[0.9992206]],2015-05-07 05:16:00-04:00,NVDA
2416,931469.0,[[0.9998645]],2015-05-07 14:27:00-04:00,NVDA
2415,931468.0,[[0.9992663]],2015-05-07 16:21:00-04:00,NVDA
2414,931467.0,[[0.99999964]],2015-05-07 16:22:00-04:00,NVDA
2413,931466.0,[[0.9999998]],2015-05-07 17:24:00-04:00,NVDA
2412,931465.0,[[0.98816735]],2015-05-08 05:39:00-04:00,NVDA
2411,931464.0,[[1.357314e-05]],2015-05-08 05:50:00-04:00,NVDA
2410,931463.0,[[0.99950564]],2015-05-08 07:28:00-04:00,NVDA
2409,931462.0,[[0.9281864]],2015-05-08 07:39:00-04:00,NVDA
2408,931461.0,[[0.9993137]],2015-05-08 08:13:00-04:00,NVDA
2407,931460.0,[[0.19693673]],2015-05-08 08:23:00-04:00,NVDA
2406,931459.0,[[0.9995925]],2015-05-08 08:47:00-04:00,NVDA
2405,931458.0,[[0.9999699]],2015-05-08 08:50:00-04:00,NVDA
2404,931457.0,[[0.8335867]],2015-05-08 10:02:00-04:00,NVDA
2403,931456.0,[[0.9766851]],2015-05-08 15:17:00-04:00,NVDA
2402,931455.0,[[0.00088279]],2015-05-11 11:34:00-04:00,NVDA
